state,x,y
Alabama,120,-106
Alaska,-214,-170
Arizona,-213,-40
Arkansas,39,-53
California,-325,13
Colorado,-132,20
Connecticut,290,85
Delaware,274,37
Florida,200,-145
Georgia,165,-75
Hawaii,-317,-143
Idaho,-220,115
Illinois,78,37
Indiana,117,25
Iowa,33,65
Kansas,-37,5
Kentucky,140,-4
Louisiana,48,-128
Maine,310,160
Maryland,275,23
Massachusetts,290,103
Michigan,130,90
Minnesota,5,155
Mississippi,85,-78
Missouri,36,0
Montana,-161,150
Nebraska,-57,58
Nevada,-265,49
New Hampshire,295,123
New Jersey,278,62
New Mexico,-153,-53
New York,232,99
North Carolina,200,-28
North Dakota,-73,150
Ohio,168,46
Oklahoma,-30,-50
Oregon,-295,130
Pennsylvania,203,63
Rhode Island,312,91
South Carolina,200,-61
South Dakota,-72,103
Tennessee,107,-38
Texas,-38,-106
Utah,-193,30
Vermont,265,134
Virginia,224,0
Washington,-295,183
West Virginia,195,20
Wisconsin,60,110
Wyoming,-150,85
